,date,tweet,clean_tweets,len,Sentiment
26,2019-09-27 09:53:50,"RT @Ewa12480120: SKOK Wołomin 28.08.2019 Zimmerman – Warchoł – Piebiak ośmiornica w Ministerstwie Sprawiedliwości
https://t.co/dtihb7cf0m
#…",ewa skok wo omin zimmerman warcho piebiak miornica w ministerstwie sprawiedliwo ci dtihb cf,91,0
27,2019-09-27 09:54:02,RT @eweritta: dobreeee  #SilniRazem #wiemlepiej #wybory2019 #IdziemyNaWybory #nieświrujIdźNaWybory https://t.co/uLF5LkEObB,eweritta dobreeee silnirazem wiemlepiej wybory idziemynawybory nie wirujid nawybory ulf lkeobb,94,0
28,2019-09-27 09:54:14,"RT @szykom89: Panie @MorawieckiM, poniżej polska rodzina z krótkim przekazem dla pana i pańskiego rządu @pisorgpl. Ale taka prawdziwa rodzi…",szykom panie morawieckim poni ej polska rodzina z kr tkim przekazem dla pana pa skiego rz du pisorgpl ale taka prawdziwa rodzi,126,0
29,2019-09-27 09:55:10,"Aktywny wyborczy poranek przy stacji metra Wawrzyszew :) 

#KMUdoSenatu #Wybory2019 #KoalicjaObywatelska https://t.co/AFLnFM7NCY",aktywny wyborczy poranek przy stacji metra wawrzyszew kmudosenatu wybory koalicjaobywatelska aflnfm ncy,103,0
30,2019-09-27 09:55:24,"RT @DudeOfPoland: @JanGrabiec Pozdrów Panią od seksu.
#StopHipokryzjiPO #Wybory2019 https://t.co/S1Z0MKG4MU",dudeofpoland jangrabiec pozdr w pani od seksu stophipokryzjipo wybory z mkg mu,78,0
31,2019-09-27 09:55:56,"RT @szykom89: Sondaż wewnętrzny @pisorgpl:
PiS-37,5%
KO-29%

Sondaż wewnętrzny #KoalicjaObywatelska:
PiS-38%
KO-31%

Zabawne są sondaże pra…",szykom sonda wewn trzny pisorgpl pis ko sonda wewn trzny koalicjaobywatelska pis ko zabawne sonda e pra,103,0
32,2019-09-27 09:56:33,"RT @szykom89: Panie @MorawieckiM, poniżej polska rodzina z krótkim przekazem dla pana i pańskiego rządu @pisorgpl. Ale taka prawdziwa rodzi…",szykom panie morawieckim poni ej polska rodzina z kr tkim przekazem dla pana pa skiego rz du pisorgpl ale taka prawdziwa rodzi,126,0
33,2019-09-27 10:01:42,"RT @kmujazdowski: Do końca kampanii wyborczej zostały 2 tygodnie. Namawiajmy do pójścia na wybory, bo #JutroMozeByćLepsze
#KMUdoSenatu #Wyb…",kmujazdowski ko ca kampanii wyborczej zosta tygodnie namawiajmy p j cia na wybory bo jutromozeby lepsze kmudosenatu wyb,119,0
34,2019-09-27 10:02:43,"RT @kmujazdowski: Aktywny wyborczy poranek przy stacji metra Wawrzyszew :) 

#KMUdoSenatu #Wybory2019 #KoalicjaObywatelska https://t.co/AFL…",kmujazdowski aktywny wyborczy poranek przy stacji metra wawrzyszew kmudosenatu wybory koalicjaobywatelska afl,109,0
35,2019-09-27 10:05:01,RT @wSensie: Robert Winnicki: To najbardziej oczywiste wybory od 30 lat. 4 komitety okrągłostołowe albo Konfederacja https://t.co/bemF2wvLO…,wsensie robe winnicki najbardziej oczywiste wybory od lat komitety okr g osto owe albo konfederacja bemf wvlo,109,0
36,2019-09-27 10:06:15,"RT @SlawekNeumann: Pierwsze #znakwyborczy zamocowane. U Pani Danki i Pani Danieli w Starogardzie.
Dziękuje za użyczenie ogrodzenia ?

Chces…",slawekneumann pierwsze znakwyborczy zamo wane u pani danki pani danieli w starogardzie dzi kuje za u yczenie ogrodzenia chces,125,0
37,2019-09-27 10:06:16,"RT @szykom89: Panie @MorawieckiM, poniżej polska rodzina z krótkim przekazem dla pana i pańskiego rządu @pisorgpl. Ale taka prawdziwa rodzi…",szykom panie morawieckim poni ej polska rodzina z kr tkim przekazem dla pana pa skiego rz du pisorgpl ale taka prawdziwa rodzi,126,0
38,2019-09-27 10:06:36,"RT @TygrysBengalsk3: I to jest bardzo dobra, chwytliwa koncepcja ! https://t.co/wVqoRn83dO",tygrysbengalsk jest bardzo dobra chwytliwa koncepcja wvqorn,59,0
39,2019-09-27 10:06:54,"RT @DiskoChlosta: Troszkę się nam zezłościł @maxkolonko. Czas wyborów bywa stresujący. 

#wybory2019 #Polska https://t.co/ZIOrO0jUAX https:…",diskochlosta troszk si nam zez ci maxkolonko czas wybor w bywa stresuj cy wybory polska zioro juax,98,0
40,2019-09-27 10:07:31,"RT @promett_ey: Żenada. PO - PiSu nigdy nie było. Była natomiast 8 lat trwająca koalicja  @Platforma_org - @nowePSL, a wcześniej PSL - SLD.…",promett ey enada po pisu nigdy nie natomiast lat trwaj ca koalicja platforma org nowepsl wcze niej psl sld,106,0
41,2019-09-27 10:08:38,"Zainteresowanie jest... mimo, ze do wyborow 2 tyg. #SilniRazem #SkasujPiS #Wybory2019 https://t.co/dHoA06t60u",zainteresowanie jest mimo ze wyborow tyg silnirazem skasujpis wybory dhoa u,75,0
42,2019-09-27 10:10:33,"4 takie skompletowane, można spokojnie jechać w świat.
#wybory2019 https://t.co/WKva18C1Yu",takie skompletowane mo na spokojnie jecha w wiat wybory wkva c yu,65,0
43,2019-09-27 10:10:42,Desperacji soka z buraka #ClimateStrike #wybory2019 #kampania #sondaż #SilniRazem #Lewica #pis #sokzburaka #LGBTQ… https://t.co/yQrJATvUcD,desperacji soka z buraka climatestrike wybory kampania sonda silnirazem lewica pis sokzburaka lgbtq yqrjatvucd,110,0
